AverageDiscountedReturn,AvgTrajLen,StdReturn,MinReturn,CurStdMean,AverageReturn,Iteration,NumTrajs,MaxReturn
86.6020325142,200.0,200.0,200.0,3.15473560964e-05,200.0,150,20,200.0
86.6020325142,200.0,200.0,200.0,2.66725365498e-05,200.0,151,20,200.0
86.6020325142,200.0,200.0,200.0,2.33192165188e-05,200.0,152,20,200.0
86.6020325142,200.0,200.0,200.0,2.01132878304e-05,200.0,153,20,200.0
86.6020325142,200.0,200.0,200.0,1.59042584507e-05,200.0,154,20,200.0
86.6020325142,200.0,200.0,200.0,1.3451839634e-05,200.0,155,20,200.0
86.6020325142,200.0,200.0,200.0,1.17618416001e-05,200.0,156,20,200.0
86.6020325142,200.0,200.0,200.0,9.83373040524e-06,200.0,157,20,200.0
86.6020325142,200.0,200.0,200.0,7.67722547587e-06,200.0,158,20,200.0
86.6020325142,200.0,200.0,200.0,6.77040569268e-06,200.0,159,20,200.0
86.6020325142,200.0,200.0,200.0,5.36917289576e-06,200.0,160,20,200.0
86.6020325142,200.0,200.0,200.0,4.58856044e-06,200.0,161,20,200.0
86.6020325142,200.0,200.0,200.0,3.59069699874e-06,200.0,162,20,200.0
86.6020325142,200.0,200.0,200.0,2.94572573239e-06,200.0,163,20,200.0
86.6020325142,200.0,200.0,200.0,2.63783802308e-06,200.0,164,20,200.0
86.6020325142,200.0,200.0,200.0,2.25694031024e-06,200.0,165,20,200.0
86.6020325142,200.0,200.0,200.0,1.85244812519e-06,200.0,166,20,200.0
86.6020325142,200.0,200.0,200.0,1.5043572335e-06,200.0,167,20,200.0
86.6020325142,200.0,200.0,200.0,1.24115417997e-06,200.0,168,20,200.0
86.6020325142,200.0,200.0,200.0,9.93506771363e-07,200.0,169,20,200.0
86.6020325142,200.0,200.0,200.0,8.05452209981e-07,200.0,170,20,200.0
86.6020325142,200.0,200.0,200.0,6.52382309119e-07,200.0,171,20,200.0
86.6020325142,200.0,200.0,200.0,5.89396836576e-07,200.0,172,20,200.0
86.6020325142,200.0,200.0,200.0,4.63103092257e-07,200.0,173,20,200.0
86.6020325142,200.0,200.0,200.0,3.53956998255e-07,200.0,174,20,200.0
86.6020325142,200.0,200.0,200.0,2.78331829879e-07,200.0,175,20,200.0
86.6020325142,200.0,200.0,200.0,2.47301740193e-07,200.0,176,20,200.0
86.6020325142,200.0,200.0,200.0,2.04812554289e-07,200.0,177,20,200.0
86.6020325142,200.0,200.0,200.0,1.84407032935e-07,200.0,178,20,200.0
86.6020325142,200.0,200.0,200.0,1.50541201826e-07,200.0,179,20,200.0
86.6020325142,200.0,200.0,200.0,1.18218754265e-07,200.0,180,20,200.0
86.6020325142,200.0,200.0,200.0,9.31357317044e-08,200.0,181,20,200.0
86.6020325142,200.0,200.0,200.0,7.49057738403e-08,200.0,182,20,200.0
86.6020325142,200.0,200.0,200.0,6.53958677463e-08,200.0,183,20,200.0
86.6020325142,200.0,200.0,200.0,5.94229059448e-08,200.0,184,20,200.0
86.6020325142,200.0,200.0,200.0,5.04220366477e-08,200.0,185,20,200.0
86.6020325142,200.0,200.0,200.0,4.5254214599e-08,200.0,186,20,200.0
86.6020325142,200.0,200.0,200.0,4.05927466753e-08,200.0,187,20,200.0
86.6020325142,200.0,200.0,200.0,2.997686397e-08,200.0,188,20,200.0
86.6020325142,200.0,200.0,200.0,2.61631999303e-08,200.0,189,20,200.0
86.6020325142,200.0,200.0,200.0,2.31444000729e-08,200.0,190,20,200.0
86.6020325142,200.0,200.0,200.0,2.30007024434e-08,200.0,191,20,200.0
86.6020325142,200.0,200.0,200.0,1.83660172994e-08,200.0,192,20,200.0
86.6020325142,200.0,200.0,200.0,1.25202696841e-08,200.0,193,20,200.0
86.6020325142,200.0,200.0,200.0,9.29767290646e-09,200.0,194,20,200.0
