MinReturn,CurStdMean,AverageReturn,Iteration,AvgTrajLen,AverageDiscountedReturn,MaxReturn,StdReturn
8.0,1.0,99.9756097561,121,99.9756097561,-53.0272316551,200.0,99.9756097561
8.0,1.0,109.578947368,122,109.578947368,-54.8219133429,200.0,109.578947368
9.0,1.0,102.897435897,123,102.897435897,-51.0662495979,200.0,102.897435897
9.0,1.0,118.885714286,124,118.885714286,-58.4856692836,200.0,118.885714286
8.0,1.0,104.871794872,125,104.871794872,-53.7259544948,200.0,104.871794872
8.0,1.0,106.384615385,126,106.384615385,-53.3784280774,200.0,106.384615385
9.0,1.0,155.807692308,127,155.807692308,-71.794516568,200.0,155.807692308
8.0,1.0,136.266666667,128,136.266666667,-64.5227696355,200.0,136.266666667
8.0,1.0,130.59375,129,130.59375,-62.8389573323,200.0,130.59375
9.0,1.0,149.428571429,130,149.428571429,-70.3116602298,200.0,149.428571429
14.0,1.0,129.548387097,131,129.548387097,-66.1327508954,200.0,129.548387097
13.0,1.0,167.56,132,167.56,-75.7218465686,200.0,167.56
10.0,1.0,155.884615385,133,155.884615385,-70.8761194923,200.0,155.884615385
9.0,1.0,145.464285714,134,145.464285714,-69.7929619468,200.0,145.464285714
8.0,1.0,146.214285714,135,146.214285714,-66.9386944936,200.0,146.214285714
86.0,1.0,181.863636364,136,181.863636364,-82.5121356374,200.0,181.863636364
9.0,1.0,155.185185185,137,155.185185185,-73.2995058489,200.0,155.185185185
9.0,1.0,169.25,138,169.25,-77.7348978933,200.0,169.25
11.0,1.0,159.461538462,139,159.461538462,-72.9656693016,200.0,159.461538462
55.0,1.0,184.909090909,140,184.909090909,-82.6666440151,200.0,184.909090909
9.0,1.0,138.0,141,138.0,-66.6217338934,200.0,138.0
9.0,1.0,135.233333333,142,135.233333333,-65.6358259699,200.0,135.233333333
10.0,1.0,118.176470588,143,118.176470588,-60.1326578007,200.0,118.176470588
12.0,1.0,148.071428571,144,148.071428571,-71.3144383932,200.0,148.071428571
19.0,1.0,155.259259259,145,155.259259259,-72.9223675263,200.0,155.259259259
9.0,1.0,142.724137931,146,142.724137931,-69.5064517343,200.0,142.724137931
9.0,1.0,144.607142857,147,144.607142857,-67.5499332775,200.0,144.607142857
9.0,1.0,142.75862069,148,142.75862069,-68.0721479184,200.0,142.75862069
9.0,1.0,109.810810811,149,109.810810811,-59.6421182781,200.0,109.810810811
9.0,1.0,145.607142857,150,145.607142857,-70.8576626455,200.0,145.607142857
8.0,1.0,111.810810811,151,111.810810811,-55.6494620473,200.0,111.810810811
9.0,1.0,130.90625,152,130.90625,-62.7459481822,200.0,130.90625
8.0,1.0,124.121212121,153,124.121212121,-61.5547968681,200.0,124.121212121
12.0,1.0,148.259259259,154,148.259259259,-71.6945863081,200.0,148.259259259
30.0,1.0,165.84,155,165.84,-77.9382203231,200.0,165.84
12.0,1.0,177.434782609,156,177.434782609,-79.8062834392,200.0,177.434782609
15.0,1.0,138.689655172,157,138.689655172,-68.9503571373,200.0,138.689655172
10.0,1.0,134.033333333,158,134.033333333,-65.0935839804,200.0,134.033333333
10.0,1.0,145.571428571,159,145.571428571,-70.0359166592,200.0,145.571428571
15.0,1.0,141.862068966,160,141.862068966,-69.2947052357,200.0,141.862068966
49.0,1.0,149.928571429,161,149.928571429,-74.0120474677,200.0,149.928571429
12.0,1.0,143.642857143,162,143.642857143,-70.799338592,200.0,143.642857143
43.0,1.0,163.64,163,163.64,-76.9601447212,200.0,163.64
10.0,1.0,134.133333333,164,134.133333333,-63.1898083001,200.0,134.133333333
18.0,1.0,165.88,165,165.88,-77.1680124029,200.0,165.88
12.0,1.0,155.444444444,166,155.444444444,-73.335528323,200.0,155.444444444
10.0,1.0,134.612903226,167,134.612903226,-66.0327361576,200.0,134.612903226
