AverageReturn,ExplainedVariance,MinReturn,DualAfter,NumTrajs,MeanKL,AverageDiscountedReturn,Perplexity,LossBefore,DualBefore,Iteration,MaxReturn,Entropy,LossAfter,StdReturn
87.3913043478,0.672763047049,47.0,1.0640440601064654,46,0.003418369605476222,56.8769674854,1.41494452141,0.1451994276468885,1.0640440601064654,19,151.0,0.347090322844,0.14365611120913332,28.1567647759
87.4565217391,0.711059011202,47.0,1.0652639697157071,46,0.007522397879808674,57.025016255,1.42297575477,0.15006989957652067,1.0652639697157071,20,158.0,0.352750280855,0.14583424723949182,26.8948892201
83.9166666667,0.693919329637,37.0,1.0650869721218184,48,0.013439484921248685,55.5220412448,1.41587349074,0.1371998043762779,1.0650869721218184,21,159.0,0.347746648586,0.13115357105674946,26.5564127012
79.2156862745,0.718916278632,44.0,1.0635640697696127,51,0.00918698602089781,53.486460979,1.38264501115,0.16052129084304526,1.0635640697696127,22,142.0,0.323998339439,0.155607257051085,25.4930315165
91.2666666667,0.688242939246,40.0,1.0657737333883803,45,0.0049649913176125,58.2332119421,1.36917739769,0.12341688759789134,1.0657737333883803,23,176.0,0.314210119859,0.12118528552818063,30.5755167123
92.1136363636,0.648915354225,40.0,1.0686563025778355,44,0.003841978072781173,58.2458260548,1.36611500439,0.15397747385080687,1.0686563025778355,24,200.0,0.311970948227,0.1521246015079804,34.4932245712
83.7916666667,0.652726251573,46.0,1.0687068802218709,48,0.0017912693875971712,55.3219154701,1.35994678931,0.1288425581259999,1.0687068802218709,25,200.0,0.307445573475,0.12800199791469635,28.6159616978
82.8979591837,0.692008014014,45.0,1.0678442620370632,49,0.006625305160649407,55.0486959544,1.35938638998,0.1123208569672068,1.0678442620370632,26,183.0,0.307033414096,0.10976111256494413,27.5756805737
100.024390244,0.705057598119,53.0,1.066134497411015,41,0.007498908590963861,61.8673181447,1.36055924619,0.13163062348011842,1.066134497411015,27,200.0,0.307895825657,0.12772931567170775,29.6701277093
103.846153846,0.716441374115,54.0,1.066261030443657,39,0.003190218163381886,62.9105703578,1.36395883118,0.12559424758953758,1.066261030443657,28,188.0,0.310391376544,0.12425351413149276,33.0822893679
96.1666666667,0.687970646965,49.0,1.0696095803006545,42,0.005612238273247175,60.1168631171,1.34948189108,0.1434472799714317,1.0696095803006545,29,200.0,0.299720734404,0.14048690260254307,32.4829014851
101.75,0.659203473206,47.0,1.0703972945367717,40,0.0016904899710276009,61.750174273,1.34331370649,0.13285345477185787,1.0703972945367717,30,200.0,0.295139476633,0.13201500845709538,36.5059926587
